year,title,keywords_list,producers_list,directors_list,writers_list,editing_list,cinematography_list,production_design_list,music_departments_list
1968,Portrait in Terror,psychotronic film murder bound and gagged stripper shot with a spear gun portrait artist curator bell tower artist art museum art forgery dead woman carried barefoot wax underwater scene stolen painting independent film,['Jay Roades'],['Rados Novakovic'],['Vlastimir Radovanovic'],[],[],[],[]
2004,The Rockville Slayer,murder police female nudity independent film,"['Bob Farster', 'Marc Selz', 'Ellie Weingardt', ""Robert Z'Dar""]",['Marc Selz'],['Marc Selz'],['Bradley Greer'],['Joseph Farris'],[],[]
1990,Click: The Calendar Girl Killer,exploitation stalker female rear nudity female frontal nudity full frontal nudity female full frontal nudity female nudity throat slit psychopath nude photo shoot nude modeling murder serial killer maniac photographer blow dart pool party closed set,"['Ross Hagen', 'Ron LaScala', 'Carol Lynn', 'Claire Polan', 'Cliff Wenger']","['Ross Hagen', 'John Stewart']","['David Reskin', 'Ross Hagen', 'David Chute', 'Hoke Howell', 'Carol Lynn', 'John Stewart']",['Bruce R. Cook'],"['Thomas L. Callaway', 'Gary Graver']",[],[]
1960,Psycho,motel shower stabbed with a knife money maniac dissociative identity disorder surprise ending suspense serial killer famous scene theft homicidal maniac dragging a dead body carrying a dead body psychotic killer norman bates character secretary murder of a nude woman famous twist voyeurism corpse based on novel macguffin rain bath dead woman with eyes open voyeur apartment building undressing breaking the fourth wall stairwell bathroom psychological horror butcher knife psychotic blockbuster bloody corpse bird female removes her clothes female stockinged feet foot closeup thief camera shot of feet phoenix arizona murdered in a shower mental illness bathtub private detective blood stolen money,['Alfred Hitchcock'],['Alfred Hitchcock'],"['Joseph Stefano', 'Robert Bloch']",['George Tomasini'],['John L. Russell'],[],"['Israel Baker', 'Bernard Herrmann']"
1956,Invasion of the Body Snatchers,alien infiltration alien invasion small town on the run police officer surprise ending doppelganger impostor doctors office mass hysteria uncle niece relationship no fingerprints man carries a woman pod alien pod seed pod tunnel alien pretending to be human sleep trying to stay awake staying awake all night falling asleep two against many one against many human versus alien good versus evil shapeshifting fictional town alien race extraterrestrial survival alien creature escape attempt alien life form medical doctor shapeshifting alien assuming someones identity assumed identity alien pretends to be a human alien in human form alien alien on earth assimilation forced assimilation alien contact alien villain alien species replaced by a double replaced by an impostor imposture,"['Walter Mirisch', 'Walter Wanger']",['Don Siegel'],"['Daniel Mainwaring', 'Jack Finney', 'Richard Collins']",['Robert S. Eisen'],['Ellsworth Fredericks'],['Ted Haworth'],"['Carmen Dragon', 'Jerry Irvin', 'Jean Vincent Plummer']"
1982,Swamp Thing,swamp scientist based on comic book dc comics government agent paramilitary group human plant hybrid fire formula boat sword forest person on fire biologist genetic experimentation mutation villain swamp thing character shooting monster psychotronic film superhero female nudity cult film mutant creature engineering project two word title nude bathing title spoken by character first part woods helicopter snake motorboat laboratory telephone telephone booth shot to death fight face mask impersonation hand grenade character name as title swamp monster sensor notebook vending machine pushing someone into water chopping off an arm,"['Benjamin Melniker', 'Michael E. Uslan']",['Wes Craven'],['Wes Craven'],['Richard Bracken'],['Robbie Greenberg'],[],[]
2002,The Greenskeeper,stabbed with a nail slasher horror decapitation slasher dark humor female topless nudity back from the dead undead masked killer teenager teen slasher vision greenkeeper yuppie murder of a nude man male rear nudity male nudity country club golf bong gay anal penetration male stripper,"['Grace Baine', 'Jenni Gold', 'Kevin Greene', 'Adam Johnson', 'Tripp Norton', 'William Thurmond']","['Kevin Greene', 'Adam Johnson', 'Tripp Norton']","['Kevin Greene', 'Alex Weir']",['Tripp Norton'],['Matthew MacCarthy'],['Elliott Boswell'],[]
1977,Nightmare in Blood,supernatural power psychotronic film convention nazi hunter vampire writer horror spoof spoof creature feature film industry maniac actor murder blood filmmaker occult independent film,"['George Burrafato', 'Kenn Davis', 'Brian Kiley', 'John Stanley']",['John Stanley'],"['John Stanley', 'Kenn Davis']",['Harvey Katzman'],['Kenn Davis'],[],['Ed Wetteland']
2002,May,imaginary friend frankenstein theme severed body parts serial killer lazy eye dry humor psychopath childhood trauma mother daughter relationship mental illness characters murdered one by one character name as title song childrens music cult favorite sucking ones thumb jackknife written by director secretly observing name in title name as title female name in title female name as title female psychopath medical exam psychopath as protagonist doctor obsessed woman f rated female protagonist antihero socially awkward socially awkward woman dark comedy blood on hands scream screaming woman camera shot of eyes close up of eyes cross eyed woman fetish fetishism little girl fetishist little boy outsider lighting a cigarette younger version of character singing happy birthday birthday cake,"['Eric Koskin', 'Richard Middleton', 'Scott Sturgeon', 'Marius Vaysberg', 'John Veague']",['Lucky McKee'],['Lucky McKee'],"['Debra Goldfield', 'Rian Johnson', 'Chris Sivertson']",['Steve Yedlin'],['Leslie Keel'],"['Jammes Luckett', 'Lucky McKee']"
1989,Meet the Hollowheads,dark satire corporate satire social satire mother daughter relationship mother son relationship abusive boss husband wife relationship spoof sleazy boss business dinner family dinner middle class family futuristic police officer giant corporation sexual predator rapist sexual assault rape attempt sexual harassment adult man attracted to underage girl best friend squashed bug parasite alien dog alien worm maintenance worker senile grandfather locked in a basement happy ending high on drugs dark comedy aspiring musician singing pop soundtrack theme song rapping dystopian future sludge futuristic food grossout humor burned flesh making a pun cooking dinner sexual innuendo homemaker dinner gone wrong loving wife and mother loving wife pacifist,"['John Chavez', 'Jonathan de la Luz', 'Joseph P. Grace', 'Neil Lundell', 'Lisa Morton', 'Randy Robinson', 'Pippa Scott']",['Thomas R. Burman'],"['Thomas R. Burman', 'Stanley Mieses', 'Lisa Morton']",['Carl Kress'],['Marvin V. Rush'],['Edward Eyth'],"['Bunny Andrews', 'Else Blangsted', 'Scott Gould', 'Ron Harper', 'Larold Rebhun']"
1998,Psycho,norman bates character remake murdered in a shower color remake of black and white film shot for shot remake bare chested male barefoot male male masturbation murder of a nude woman nudity female nudity female removes her clothes stupidity failure thousand dollar bill phone booth telephone booth bathtub basement stuffed animal horror icon psychotronic film aerial camera shot horror movie remake grindhouse film bloody violence brassiere lifting a female into the air subjective camera female frontal nudity female star appears nude metafiction motel house money secret private detective stolen money storm shower change of protagonist sheriff serial killer recluse old dark house motel owner missing woman mental illness hardware store guilt,"['Brian Grazer', 'John Marshall', 'Gus Van Sant', 'Jim Whitaker', 'Dany Wolf']",['Gus Van Sant'],"['Robert Bloch', 'Joseph Stefano']",['Amy E. Duddleston'],['Christopher Doyle'],['Tom Foden'],"['Steve Bartek', 'Julian Bratolyubov', 'Brent Brooks', 'Debbi Datz-Pyle', 'Danny Elfman', 'Sean M. Hickey', 'Kenneth Karman', 'Stephanie Lowry', 'Norman Ludwin', 'Marc Mann', 'Shawn Murphy', 'John Rodd', 'Dennis Sager', 'Patti Zimmitti', 'Pete Anthony']"
2009,Night Crawlers,town,"['Mike Gonzalez', 'Ron Gonzalez', 'Gabriel Horn', 'Benjamin Wilbanks']",['Benjamin Wilbanks'],['Benjamin Wilbanks'],"['Sam Crutsinger', 'Benjamin Wilbanks']",['Ron Gonzalez'],[],['Douglas Edward']
1980,Humanoids from the Deep,title directed by female female nudity rape fishing village bigot humanoid exploitation pollution dog killed spear gun female rear nudity mass killing dead dog sea creature amphibious creature american indian impregnation experiment gone wrong sea monster ventriloquism childbirth cult film fishing boat fishing net golden retriever barbeque fork footprint female scientist fishing rod black eye animal attack ventriloquist dummy public nudity driving off a bridge tadpole telescopic rifle radio broadcast beauty contest winner playpen facial scar grindhouse film psychotronic film graphic violence teddy rape and revenge motorboat bikini raped by a monster woman raped by a monster fishing,"['Martin B. Cohen', 'Roger Corman', 'Hunt Lowry']","['Barbara Peeters', 'Jimmy T. Murakami']","['Frank Arnold', 'Martin B. Cohen', 'William Martin']",['Mark Goldblatt'],['Daniel Lacambre'],[],"['Paul Di Franco', 'Ford A. Thaxton']"
1976,Sasquatch: The Legend of Bigfoot,snow adventure cult psychotronic film numerous handsome men all male cast bigfoot legend expedition scientist crossing a river stream snow otter silhouette valley cliff shaving bare chested male bigfoot footage dog trail meadow creek native american near drowning rope river crossing river gun gunshot broken window animal attack creature feature cabin hiking flashback legend cougar grizzly bear camping mountain scientific expedition researcher investigation badger wolf forest bear raccoon horseback riding horse,"['John Fabian', 'Ronald D. Olson']",['Ed Ragozzino'],"['Ed Hawkins', 'Ronald D. Olson', 'George Lauris', 'J. English Smith']","['John Fabian', 'Bill Farmer']","['John Fabian', 'Bill Farmer']",[],"['Al Capps', 'Louise Di Tullio']"
1989,Begotten,experimental film abstract film surrealism cult film mother earth razor graphic violence extreme film transcendence suicide spirituality skinning off human flesh shroud self insemination performance art performance artist human flesh grinding up human flesh god commits suicide face mask conceptual art chaos bashing in head woods self mutilation self impregnation reverse footage nomad no music necrophilia mythology mother son relationship knife desolation dead body cruelty corpse brutality anthropology violence torture metaphysics noise menacing shadow gore abstract art rape art intestines blood,['E. Elias Merhige'],['E. Elias Merhige'],"['E. Elias Merhige', 'Tom Gunning']",['Noëlle Penraat'],['E. Elias Merhige'],[],['Evan Albam']
1988,Deep Space,alien blonde tentacles monster creature feature satellite biological weapon laboratory outer space secret crash landing meteor blood stain white telephone police captain police policeman speeding corpse sleeping on a bench investigation homeless man black telephone mustache blood splatter employer employee relationship map watching tv dog woman undresses female police officer creature alien monster alien creature alien contact explosion exploding car revolver shotgun axe military us army soldier cult film two word title psychotronic film b movie b horror alien invasion rampage,"['Alan Amiel', 'Herb Linsey', 'Yoram Pelman', 'Fred Olen Ray']",['Fred Olen Ray'],"['Fred Olen Ray', 'T.L. Lankford']","['Bruce Stubblefield', 'Natan Zahavi']",['Gary Graver'],[],[]
1967,The Gruesome Twosome,wig scalping electric knife scalped alive screaming torture exploitation disembowelment bodily dismemberment splatter comedy serial murder psychotronic film director cameo slasher slasher horror wig store violence notoriety brutality stuffed animal stalking stabbed in the eye prelude fraternity domineering mother curiosity b movie mental disability cult film cult director mercilessness infamy wrath stabbing stabbed in the forehead scream satire sadism rage psycho psycho killer old man nightmare mysterious man multiple stabbing maniac humiliation dismemberment cruelty bloodbath,"['Herschell Gordon Lewis', 'J.G. Patterson Jr.', 'Fred M. Sandy']",['Herschell Gordon Lewis'],['Louise Downe'],['George Regas'],['Roy Collodi'],[],[]
1958,Macabre,psychotronic film graveside service mausoleum pregnancy death by giving birth thornton small town fictional town stolen coffin childs coffin gambling addiction gambling debt drunk doctor widower widowed father fainting woman mysterious telephone call teddy bear kidnapped daughter graveyard open grave flashback blind woman marriage proposal rejecting a marriage proposal reference to god unwanted pregnancy reference to christian mythology time running out year 1958 year 1955 year 1931 gravestone pregnant woman rotary dial telephone death in childbirth beating beaten by a cop slap employee slaps boss family tomb family crypt flashlight night nighttime storm thunder filicide identity reveal uxoricide,"['William Castle', 'Howard W. Koch', 'Aubrey Schenck']",['William Castle'],"['Robb White', 'Anthony Boucher']",['John F. Schreyer'],['Carl E. Guthrie'],[],['Sam E. Waxman']
1975,Bug,earthquake based on novel egg schoolteacher dead animal psychotronic film one word title animal in title bug family tragedy scientific experiment setting a fire science human versus animal house on fire cat on fire dead cat biblical reference preacher reference to god speech crying baby father son relationship christian burning to death firefighter car on fire burning bush screaming woman crying female crying woman crying loss of father death of brother loss of brother lecture lecturer trauma traumatized woman boyfriend girlfriend relationship science fiction horror teacher building on fire biology class school telephone call farm insect mysterious event biologist,['William Castle'],['Jeannot Szwarc'],"['Thomas Page', 'William Castle', 'Thomas Page']",['Allan Jacobs'],['Michel Hugo'],[],['Charles Fox']
1989,Pet Sematary,intentionally misspelled title neighbor indian burial ground house fire woods hit by a truck cemetery grave robbing loss of child death of wife death of cat death of boy back from the dead resurrection burial ground death of son based on the works of stephen king maine suicide scalpel ghost cat pet cat pet dog title directed by female gore little girl grave hiding shovel son murders mother pet cemetery death father in law son in law relationship murder of neighbor death of sister death of pet based on novel new england secret truck funeral dream arson 1980s cult film orchestral music score nightmare flashback grief,"['Mitchell Galin', 'Richard P. Rubinstein', 'Ralph S. Singleton', 'Tim Zinnemann']",['Mary Lambert'],"['Stephen King', 'Stephen King']","['Daniel P. Hanley', 'Mike Hill']",['Peter Stein'],['Michael Z. Hanan'],"['Tom Boyd', 'Phil Bulla', 'Sandy DeCrescent', 'George Doering', 'Robert Elhai', 'Charles Martin Inouye', 'Joel Iwataki', 'Steven Mercurio', 'James Thatcher', 'Elliot Goldenthal', 'Dan Goldwasser']"
2009,Saw VI,wetting pants f word toilet kicked in the balls office politics insurance company characters killed one by one pig mask torture kidnapping jigsaw character amanda young character repeat sequel body count neo noir mass murder mass murderer graphic violence death of a woman characters murdered one by one boss employee relationship reference to norway intense violence triple murder male protagonist male antagonist male villain borderline personality disorder actor reprises previous role actress reprises previous role grindhouse film jigsaw revenge returning character killed off game of death deception flash photography pool of blood tape player audio cassette shackle darkness famous theme one way mirror broken mirror scalpel bullet pistol padlock tape recorder,"['Troy Begnaud', 'Peter Block', 'Mark Burg', 'Jason Constantine', 'Daniel J. Heffner', 'Gregg Hoffman', 'Kaleigh Kavanagh', 'Oren Koules', 'Stacey Testro', 'James Wan', 'Leigh Whannell']",['Kevin Greutert'],"['Patrick Melton', 'Marcus Dunstan']","['Carles Berot', 'Andrew Coutts']",['David A. Armstrong'],['Anthony A. Ianni'],"['Charlie Clouser', 'Peter Freeman', 'Eric Gorfain', 'Paul Intson', 'Danny Lohner', 'Yvonne McDonald', 'Jonathan McHugh', 'Jonathan Scott Miller', 'Tom Pigott Smith', 'Jonathan Platt', 'Hilary Skewes', 'Chas Smith', 'Tony Stanton', 'Synergy Vocals', 'Nick Wollage']"
2009,Tell Tale,gift pill stitching ones wound cell phone woman wears a bra and panties woman on top sex ptsd post traumatic stress disorder character repeats someone elses dialogue hairy chested man donor police detective glass shard death syringe scalpel infidelity punched in the face corpse newspaper clipping funeral skeleton genetic disorder revenge premarital sex stomped to death kicked in the head knife photograph subjective camera heart attack car crash news report reference to wile e coyote stabbed with glass flashback female doctor scar heart surgery gore slow motion scene heart in hand hospital staff heartbeat ice bathtub organ harvesting organ donor conspiracy wine bottle memory loss,"['John Baca', 'Dave Callaham', 'Matthew E. Chausse', 'Michael Costigan', 'Michael Ellenberg', 'Malcolm Reeve', 'Robert Salerno', 'Ridley Scott', 'Tony Scott', 'Martin Shore', 'Gordon Steel', 'Christopher Tuffin', 'Patrick Wabl']",['Michael Cuesta'],"['Dave Callaham', 'Edgar Allan Poe']","['Kane Platt', 'Billy Rich']",['Terry Stacey'],['Patti Podesta'],"['David Buckley', 'Allison Wright Clark', 'Abhay Manusmare', 'Jason Ruder', 'Martin Shore', 'Bert Selen']"
1977,Whiskey Mountain,hillbilly horror murder gang treasure hunt mountain hillbilly motorcyclist female motorcyclist marijuana farmer marijuana farm female victim two couples unhappy ending downbeat ending polaroid helicopter sniper sheriff drug ring accidental witness city slicker hermit psychopath exploding bridge theme song motorcycle motorcycle on fire shootout shotgun four friends independent film,"['Richard W.A. Davis', 'William Grefé', 'Lewis Perles']",['William Grefé'],"['William Grefé', 'Nicholas E. Spanos']","['Julio C. Chávez', 'Ronald Sinclair']",['Julio C. Chávez'],[],"['The Charlie Daniels Band', 'Lewis Perles']"
1959,Curse of the Undead,horror western double feature film family heritage range war investigation dagger horse and buggy bitten by a vampire love triangle boundary border dispute vampire cowboy evil cowboy neck bite vampire bite undead vampire bite marks on neck vampire bite marks brought back to life vampire coffin curse,['Joseph Gershenson'],['Edward Dein'],"['Edward Dein', 'Mildred Dein']",['George A. Gittens'],['Ellis W. Carter'],[],"['Milton Rosen', 'Ethmer Roten']"
2005,Doom,based on video game monster survival massacre commando unit first person perspective minigun brother sister relationship blood creature mars the planet weapons fire weapon genetic soldier hell human versus monster machismo gun battle blood splatter extra chromosome teleportation shootout gunfight special forces combat hand to hand combat tough guy hero subjective camera altered version of studio logo wheelchair alien babe scientist superhuman autopsy gore genetic mutation machine gun gun super soldier psychotronic film czechploitation forensic archaeologist dog female doctor handheld weapon rotorcraft female science officer audio recording,"['Lorenzo di Bonaventura', 'Laura Holstein', 'David Minkowski', 'Henning Molfenter', 'Thierry Potok', 'John D. Schofield', 'Jeremy Steckler', 'Matthew Stillman', 'John Wells']",['Andrzej Bartkowiak'],"['Dave Callaham', 'Wesley Strick', 'Dave Callaham']",['Derek Brechin'],['Tony Pierce-Roberts'],['Stephen Scott'],"['Dina Eaton', 'Geoff Foster', 'Vic Fraser', 'Dominic Gibbs', 'Isobel Griffiths', 'Kathy Nelson', 'Roger Argente', 'Mark Berrow', 'Rachel Bolt', 'Heather Cairncross', 'Chris Cozens', 'Sarah Eyden', 'Bruce Fowler', 'Rick Giovinazzo', 'Steve Mair', 'Everton Nelson', 'Allen Walley', 'Lawrence Wallington', 'Bruce White', 'Warren Zielinski']"
2007,Unearthed,burial burial ground ground new mexico desert desert monster juice 2000s archaeology american southwest psychotronic film timeframe 2000s archaeological excavation indian burial ground alien creature stranded cow sheriff new mexico shot with a gun women shoot guns woman firing a shotgun shotgun woman holding a shotgun shotgun blast shotgun shell pump action shotgun dead mystical creature mysterious creature mythical creature evil creature creature attack creature feature sheriffs deputy drunken sheriff sheriffs deputy female sheriff small town sheriff deputy sheriff woman sheriff bunsen burner microscope tattoo on face binoculars awakened by a telephone call scientific testing painting terror,"['Miranda Bailey', 'TyRuben Ellingson', 'Francey Grace', 'D.J. Marini', 'Julie Sandor', 'Jun Tan', ""Michael 'Spike' Van Briesen""]",['Matthew Leutwyler'],['Matthew Leutwyler'],['Shawna Callahan'],['Ross Richardson'],['Christopher R. DeMuri'],['Zach Selwyn']
2005,White Noise,supernatural horror television static river obsession architect voice grave electronic voice phenomena death time author car accident television widower suburb slow motion scene lifting someone into the air loss novelist wheelchair bound and gagged abandoned building police investigation tv monitor newspaper article seeing the future video cassette wire logbook watching tv being followed answering machine news report communicating with the dead home video swimming pool mother son relationship pier remote control listening to a radio father son relationship waterfront corpse anger photograph headphones police car blackout tears business card,"['Paul Brooks', 'Simon Brooks', 'Stephen Hegyes', 'Scott Niemeyer', 'Jonathan Shore', 'Norm Waitt', 'Shawn Williamson']",['Geoffrey Sax'],['Niall Johnson'],['Nick Arthurs'],['Chris Seager'],['Michael S. Bolton'],"['Claude Foisy', 'Scott Cochran', 'Randy Gerston', 'Lee Kerr', 'Brian Leff']"
2008,16 Heads and Counting,serial killer dog mob vampire tree knife decapitation gun editor,"['Parker Cagle-Smith', 'Andrew Gingerich', 'Ethan Holbrook']",['Andrew Gingerich'],['Ethan Holbrook'],['Andrew Gingerich'],['Kathryn Criston'],[],[]
2008,Amateur Porn Star Killer 2,female pubic hair explicit fellatio female rear nudity violence against a woman erect penis sexual violence forced sex labia vaginal penetration low budget film female full frontal nudity female explicit nudity explicit sex murderer pornographer rapist condom exploitation film rape murder bdsm amateur porn misogyny fellatio female frontal nudity female nudity unsimulated sex erection male explicit nudity male nudity male frontal nudity torture snuff film sex oral sex nudity violence sadism,"['Benjamin P. Ablao Jr.', 'Kelley Daniel', 'Mark Doty', 'R.K. Gemienhardt', 'Gregory Hatanaka', 'Manoush', 'Chad Meisenheimer', 'Phil Nelson', 'Nikki Nishimoto', 'Shane Ryan-Reid', 'Andy Seri', 'Anthony Spadaccini', 'Jeremy Williams']",['Shane Ryan-Reid'],"['Shane Ryan-Reid', 'Kai Lanette']",['Shane Ryan-Reid'],"['Kai Lanette', 'Shane Ryan-Reid']",[],"['Mark Doty', 'Daniel Hawks', 'Shane Ryan-Reid']"
1976,Mansion of the Doomed,eyeball guilt kidnapping eye transplant gore captive surgery video nasty psychotronic film downward spiral car us car lincoln the car lincoln motor vehicle lincoln continental chevrolet chevrolet motor vehicle chevrolet bel air tied to an operating table bandage over eyes blind girl car accident eye voice over narration incarceration hit by a car father daughter relationship assistant grave murder shovel death laughter abduction swing wine nurse interview scream metropolis caged monkey panic bandage uniform incision experiment monitor wheelchair physician,"['Albert Band', 'Charles Band']",['Michael Pataki'],['Frank Ray Perilli'],['Harry Keramidas'],['Andrew Davis'],[],['Lee Osborne']
2008,Semester's End,murder female nudity violence slasher serial killer stalker female college student co ed,"['Zach Bressler', 'K. August Reinfried']",['Zach Bressler'],"['Zach Bressler', 'Matt Wheeler']",['Zach Bressler'],"['Colin Bressler', 'Mark Shogren']",[],[]
2009,Deadfall Trail,eating an insect drinking ones urine person versus nature friend redneck arizona wilderness minimal cast leg wound hit on the head with a rock leg injury head bashed in desert drinking urine survival horror tension garbage bag water bottle knife cowboy hat hiking tied to a tree stretcher booby trap woods trek friendship between men survival camping survivalist,"['Robert Beadle', 'Gay Gilbert', 'Robert D. Guthrie', 'Candace Rose', 'Roze', 'Cary Truelick']",['Roze'],"['Candace Rose', 'Roze', 'Joshua Staman']",['Robert Beadle'],['Tari Segal'],['Andrew David Hall'],[]
2006,The Wicker Man,unintentional humor pagan ritual animal sacrifice bee feminism bee attack island folk horror ritual mask ritual murder small community island community isolated community death of protagonist horror movie remake fetus in a jar beekeeping allergic reaction bear suit remake of cult favorite matriarchy matronizing matriarch evil woman female chauvinist evil wins murder of a police officer pregnancy camp gender in title underwater scene unhappy ending bad guy wins cruelty man punches a woman chopping wood rural setting town with a dark secret remake of cult film b movie torture girl ritual investigation letter female chauvinism disguise foetus fatal accident road accident,"['Nicolas Cage', 'Boaz Davidson', 'Danny Dimbort', 'Noam Dromi', 'Randall Emmett', 'Simon Franks', 'George Furla', 'Norman Golightly', 'Manfred D. Heid', 'Zygi Kamasa', 'Jochen Kamlah', 'Gerd Koechlin', 'Josef Lautenschlager', 'Avi Lerner', 'Elisa Salinas', 'JoAnne Sellar', 'Trevor Short', 'Andreas Thiesmeyer', 'John Thompson', 'Brad Van Arragon', 'Shawn Williamson']",['Neil LaBute'],"['Neil LaBute', 'Anthony Shaffer']",['Joel Plotch'],['Paul Sarossy'],['Phillip Barker'],"['Selena Arizanovic', 'Angelo Badalamenti', 'Michael Bowers', 'Daniel Coe', 'Micha Liberman', 'Phil Marshall', 'Joe McGrath', 'William Pearson', 'Ashley Waldron', 'Daniel Coe']"
2005,Dead Serious,psychotronic film gay gay interest vampire cult film,['Michael J. Hein'],['Joe Sullivan'],"['Michael J. Hein', 'Joe Sullivan']","['Ross Byron', 'R.J. Martin']",['Bud Gardner'],[],[]
1990,Mirage,couple has sex in the back of a moving truck stranger couple truck desert ambiguous ending buried up to the neck bow and arrow taunting stalking good versus evil police officer young man young woman vacation gone wrong female nudity psychopathic killer sex scene villain demonic self rescue picnic friend the outback australia outdoors female topless nudity dust devil supernatural killer psycho killer hunted outback final girl human prey most dangerous game female protagonist black boots man in black slasher road trip stalker psychopath serial killer chase independent film surprise ending,"['Bill Brandenberg', 'Bill Crain', 'Michael Crain']",['Bill Crain'],"['Chuck Hughes', 'Bill Crain', 'Michael Crain']",['Brian Crain'],['Michael Crain'],[],['Brian Crain']
2003,Black Cadillac,dark road forest motor vehicle car us car cadillac cadillac motor vehicle black cadillac swedish car saab saab motor vehicle saab 900 man woman brother reference to jack london redneck driving driving a car man driving a car car chase snow fistfight brother brother relationship,"['Ted Abenheim', 'Kenneth Burke', 'Miriam Flynn', 'Scott J. Jones', 'John Lind', 'Steve Mead', 'John Murlowski', 'Steven Douglas Smith']",['John Murlowski'],"['John Murlowski', 'William Porter']",['John Gilbert'],['Steven Douglas Smith'],['Peggy Paola'],"['Spencer Breen', 'Jeff Marsh', 'Meg Maryatt']"
1989,Stepfather II: Make Room for Daddy,psychopath tablesaw looking at oneself in a mirror man punches a woman slasher sexploitation washington state body in a trunk overalls evil stepfather child in jeopardy stepfather sex scene scars mail truck mail carrier letter carrier mailwoman slow motion hit with a hammer knife in the chest knife stabbed with a fork stabbed in the hand locked in a closet foot chase wine wedding cake wedding church blind man hanged woman suicide note strangulation premarital sex scar reference to frankenstein park suspicion crushed car whistling car crash wrapped in a carpet breaking a bottle over someones head hotel stabbed to death blood spatter dentist mailman skateboard,"['William Burr', 'Carol McCaffrey', 'Darin Scott']",['Jeff Burr'],"['Carolyn Lefcourt', 'Brian Garfield', 'Donald E. Westlake', 'John Auerbach']",['Pasquale Buba'],['Jacek Laskus'],['Byrnadette DiSanto'],"['Arthur Leigh', 'Pat Regan']"
1983,The Prey,two word title slasher horror serial killer sadistic killer backwoods slasher evil wins deformed brute camping axe murderer bikini hillbilly horror man killed deformed man kiss murder spree brutality woman in jeopardy redneck hillbilly mutant insane man psychopathic killer psychopath darkness slashing sadistic horror sadistic psychopath butchery butcher serial murder evil man woods stalking terror grindhouse film giant rage mysterious villain psycho body count evil maniac slasher killer backwoods mysterious man villain american horror cult film disfigurement suffocation,"['Edwin Brown', 'Summer Brown', 'Frans Rasker', 'Joe Steinman']",['Edwin Brown'],"['Summer Brown', 'Edwin Brown']",['Michael Barnard'],['Teru Hayashi'],[],[]
1996,Alien Beach Party Massacre,gore beach suntan lotion dismemberment beach party van spear gun impalement baseball ray gun alien surfboard,['Mike Parente'],['Andy Gizzarelli'],['Andy Gizzarelli'],[],['Christoph Chassée'],[],[]
1980,Don't Answer the Phone!,los angeles california female nudity serial killer psychopath female topless nudity radio show victim crying spanish accent therapy session detective witness shoot to kill pimp love affair photograph falling into pool strangler telephone terror female star appears nude psychologist sexual violence multiple homicide investigation deeply disturbed person dead prostitute cocaine strangulation falling into a pool video nasty psychotronic film exploitation police officer psycho thriller maniac vietnam war veteran home invasion homicidal maniac murder serial murder psychopathic killer sexual obsession mysterious man misogynist mass murder domestic violence degradation dark secret corruption alcoholism,"['Michael D. Castle', 'Robert Hammer', 'Michael Towers']",['Robert Hammer'],"['Robert Hammer', 'Michael D. Castle', 'Michael Curtis']",['Joe Fineman'],['James L. Carter'],[],[]
1980,Motel Hell,pig mask buried to the neck motel manager trap rural setting meat industry farmer female nudity chainsaw fight cannibalism cannibal spoof grindhouse film flesh eating butcher meat pie dominatrix injection hypodermic needle gore murder violence meat motel surprise ending dark comedy parody social satire satire campy joke ending hixploitation serial murder two word title horror b movie absurd violence reference to nitrous oxide auger car in a lake picnic tv preacher female rear nudity female full frontal nudity neck breaking shotgun car crash scalpel maniac food chainsaw,"['Herb Jaffe', 'Robert Jaffe', 'Steven-Charles Jaffe', 'Austen Jewell']",['Kevin Connor'],"['Robert Jaffe', 'Steven-Charles Jaffe']",['Bernard Gribble'],['Thomas Del Ruth'],[],"['Jerry MacDonald', 'Lance Rubin', 'Dan Wallin', 'Tom Boyd', 'Sandy DeCrescent', 'George Doering', 'Mark Graham', 'Steve Schaeffer', 'Steven L. Smith', 'James Thatcher']"
1974,Shanks,psychotronic film puppet puppeteer murder drowning strangulation cemetery hit and run drunkard mansion motorcycle gang good versus evil falling from height falling into a well falling down stairs mad scientist chicken frog zombie corpse surrealism mime,"['William Castle', 'Steven North', 'Sheldon Schrager']",['William Castle'],['Ranald Graham'],['David Berlatsky'],['Joseph F. Biroc'],['Boris Leven'],"['Henry Brant', 'Alex North', 'Ethmer Roten']"
2008,Prank,title directed by female f rated one word title,"['Thommy Hutson', 'Anthony Masi', 'Mike Nichols']","['Danielle Harris', 'Heather Langenkamp']","['Nick Bennett', 'Thommy Hutson', 'Anthony Masi', 'Catherine Trillo']",[],"['Pete Young', 'Peter Young']",[],[]
